feature,f_score,p_value,selected
MEGF10,30.31398543717426,3.1752513084473364e-17,False
ANO2,30.286013623865905,3.2789740193672917e-17,False
GALNTL6,30.054456954249318,4.279640710812916e-17,False
LOC400940,30.000023299026704,4.556445099569041e-17,False
C17orf51,29.961539988009626,4.762945016610501e-17,False
NEUROD1,29.94420815937878,4.858997792702067e-17,False
GALNT13,29.906985622456837,5.0719246257104064e-17,False
KIAA1529,29.885803325528457,5.197261561204075e-17,False
ADAMTS20,29.87323021940246,5.2731265563709436e-17,False
ASCL1,29.864324551482667,5.327535778886087e-17,False
LOC644538,29.853901508851024,5.391933314267104e-17,False
ENTHD1,29.805729841435024,5.699883089772084e-17,False
SDR42E1,29.5306798588739,7.829836580514462e-17,False
KRT85,29.46981611365212,8.400422338096614e-17,False
TMCO1,29.434197310552538,8.753563262003927e-17,False
THBD,29.422454378344177,8.873232234618667e-17,False
LOC100101938,29.33146424463188,9.858056141715709e-17,False
IL16,29.287896698272846,1.0367837981174499e-16,False
LRRC55,29.268390264210968,1.0604599707773814e-16,False
ATP10A,29.186214199319565,1.1663260664098945e-16,False
ZNF572,29.120345008565543,1.2588169322050887e-16,False
STX1B,29.039710860153342,1.3821509646981025e-16,False
PA2G4P4,28.947971471146293,1.5373310933898216e-16,False
ACACB,28.9285583430174,1.5723538069512738e-16,False
PDZRN4,28.83407281668009,1.7546228186476912e-16,False
C12orf27,28.69362855058604,2.0655995610169302e-16,False
C1QL2,28.599890787391466,2.3034665958252706e-16,False
CXCL2,28.57558886611246,2.3695130519501277e-16,False
MSL3L2,28.565297920580804,2.398052423900101e-16,False
MRGPRX2,28.526998753704,2.5073383346546244e-16,False
GRIK5,28.482108847938015,2.6418280711506435e-16,False
C9orf125,28.406779670563328,2.8840277115458053e-16,False
TMEM74,28.34995799506761,3.081402486019119e-16,False
RFTN1,28.33950101678754,3.1191799033023765e-16,False
SYN3,28.332046323526324,3.1463953070894565e-16,False
TCEAL5,28.32429380460191,3.174951474623437e-16,False
SIGLECP3,28.193967921798446,3.695999871751815e-16,False
CHST15,28.1623700046941,3.834792637944094e-16,False
OLIG2,28.089596364108512,4.1747300746353245e-16,False
LOC284688,28.03243843388048,4.462860634852051e-16,False
CUZD1,27.978524453253655,4.7529595498331e-16,False
ANGEL2,27.916906607088947,5.107825616624237e-16,False
