feature,f_score,p_value,selected
GPR83,74.00762515855487,3.546067675754519e-16,False
ANK1,73.70836926995848,4.010849794073426e-16,False
ADHFE1,73.50086323804086,4.368695542543974e-16,False
PRMT8,73.39579521357213,4.561972359978491e-16,False
KCNV1,73.30588049554684,4.734196138273012e-16,False
MSC,73.20550737821107,4.934196133158251e-16,False
PXDN,73.03320777979,5.297552376530747e-16,False
KCNA4,72.98646885916774,5.400683050910988e-16,False
NECAB1,72.82590730622493,5.770612770476731e-16,False
WDR63,72.72597480605346,6.013628085481021e-16,False
TMEM216,72.671358264266,6.1507714154409e-16,False
KCNA1,72.46296763765311,6.703605771335611e-16,False
ACSS3,72.38341333171228,6.927613740565634e-16,False
ZNF223,72.2373712835265,7.358638424195192e-16,False
SLFN13,71.94010719581696,8.321222327276e-16,False
GPR19,71.88114134112524,8.526734678448349e-16,False
HIST1H2BI,71.84533409346999,8.654018451797916e-16,False
FRMPD4,71.80827622754433,8.787762295876792e-16,False
SYT9,71.42365961502401,1.0304954475194962e-15,False
ROBO3,71.11533925007534,1.1709697441021353e-15,False
HTR1B,70.94358110409543,1.2574292513694883e-15,False
UCN,70.93847198467715,1.260097241570205e-15,False
RIMS2,70.65301121357581,1.4185856994133928e-15,False
ANKRD20B,70.62591169273071,1.4346372314333838e-15,False
TMCO1,70.54265102050894,1.485106967831886e-15,False
IRS1,70.25544618681909,1.673324006459758e-15,False
CHRNB4,70.24648130956614,1.6795707155640185e-15,False
ALOX15,69.79199743810806,2.0290354601803e-15,False
KCNK9,69.78505220271987,2.0349086624061776e-15,False
NKX6-2,69.77037511604965,2.0473766213064688e-15,False
ADCY8,69.7594349956738,2.0567200822001366e-15,False
LRRK2,69.54985527789015,2.2442367246023433e-15,False
SFRP2,69.14854471563359,2.6527090320701846e-15,False
NCAM2,69.04418777113027,2.7706852339371603e-15,False
RNF219,69.01327008085369,2.806641845262645e-15,False
CHCHD5,68.9385035628059,2.895547354807002e-15,False
SLC6A3,68.88931439093946,2.9555794273436457e-15,False
NUDT11,68.8825427778061,2.9639412619663573e-15,False
SNTG2,68.8346915218661,3.023712409649447e-15,False
CRHR2,68.18539848013577,3.965604064885005e-15,False
MTERF,68.12294309368328,4.070508848952752e-15,False
LOC642597,68.00974132048222,4.267824415486492e-15,False
CXCL6,67.5985823608696,5.069077005472358e-15,False
KDM2B,67.25315012257204,5.8583113658355134e-15,False
DKK2,67.07207487705058,6.320321349273636e-15,False
SLC5A7,67.05746816817823,6.359151845760109e-15,False
TNPO2,66.98053776130314,6.567662402188542e-15,False
P4HA3,66.77940639828374,7.14591514367186e-15,False
SPAG17,66.73287086914114,7.286848983558058e-15,False
ADARB2,66.68173341938181,7.444949150831145e-15,False
MTNR1B,66.66663529974753,7.49228454033066e-15,False
DCAF12L1,66.49375506528055,8.056384943584119e-15,False
CXCL2,66.47388883127262,8.123888149287146e-15,False
CLIP4,66.44636209637754,8.218362964951888e-15,False
HDX,66.39973994997543,8.380905371990024e-15,False
NOL4,66.33052033780513,8.628220278732872e-15,False
ARL10,66.2260946534201,9.015297962714521e-15,False
SLFN12,66.1028054697972,9.494867811425735e-15,False
TMEM229A,66.04282111687505,9.737400767356843e-15,False
TTC30A,65.99877011460777,9.91947414760229e-15,False
SHISA2,65.94038865605525,1.0166071102804116e-14,False
HAND1,65.69197856907151,1.1286246692492987e-14,False
EIF5A2,65.44017254403504,1.2548703489473707e-14,False
MIR219-1,65.43693849082648,1.2565810347329773e-14,False
DEM1,65.31627059369912,1.3221159199459956e-14,False
CALCB,65.21561558787629,1.3794071453130821e-14,False
UCHL1,64.96549582367196,1.532832221785643e-14,False
ZSWIM2,64.75469713485356,1.6754108662529577e-14,False
DSCAM,64.57926184564086,1.8042036695588296e-14,False
RFTN1,64.19492732952254,2.122291305251001e-14,False
MEGF10,63.964722841642654,2.33927163385481e-14,False
MSL3L2,63.86215472175914,2.443011656862882e-14,False
SDR42E1,63.81671437830703,2.490439882559056e-14,False
STL,63.805715107556544,2.502059011818862e-14,False
C8orf85,63.60437310476862,2.724658298010535e-14,False
ZNF804A,63.5897899500929,2.7415351385921833e-14,False
FNDC1,63.46092611512348,2.895316706799038e-14,False
EFHA2,63.351972293120795,3.0320963511465876e-14,False
ITGA8,63.258898433038766,3.1540821630930164e-14,False
CRTAC1,63.234135158024664,3.1873619374816113e-14,False
NPY5R,63.082375012407326,3.3991797160166116e-14,False
KCNH8,63.02979159440167,3.475832407713534e-14,False
PDZRN4,62.785604140943846,3.855242823476229e-14,False
VGLL3,62.76092724147099,3.895833020896668e-14,False
LAYN,62.56552392334212,4.232817633238891e-14,False
INA,62.44486133539034,4.455411437992745e-14,False
ZNF578,62.227816121880075,4.8859021668940384e-14,False
MARCH1,61.9318722512059,5.541188618804438e-14,False
NPY2R,61.89858690346625,5.620220176272953e-14,False
RYR2,61.82984394320616,5.787051691463205e-14,False
ELOVL2,61.46975710735823,6.745963698119587e-14,False
ADAMTS12,61.423447249480645,6.880381568356346e-14,False
ZNF660,61.3432564949878,7.119550616199137e-14,False
GALNT9,61.24654724448669,7.419148842187188e-14,False
RYR3,61.21614242493485,7.515938832782608e-14,False
